[2026-02-06 19:54:16,111] [INFO] >>> [메인] 누리장터 접속
[2026-02-06 19:54:26,555] [INFO] >>> [메뉴] 입찰공고 이동
[2026-02-06 19:54:27,199] [INFO] >>> [메뉴] 입찰공고목록 이동
[2026-02-06 19:54:27,584] [INFO] >>> [목록] 검색 수행
[2026-02-06 19:54:29,907] [INFO] >>> [목록] 10건 발견. 상위 3건 수집 시작.
[2026-02-06 19:54:29,908] [INFO] 
--- 항목 1 처리 ---
[2026-02-06 19:54:29,918] [INFO]    [대상] 범죄예방 및 이주관리/세입자조사/ 업체 선정 입찰공고
[2026-02-06 19:54:33,244] [INFO]       [수집] 상세 정보 파싱 중...
[2026-02-06 19:54:33,485] [INFO]       [결과] 필드 46개, 파일 3개
[2026-02-06 19:54:33,485] [INFO]       - 입찰공고번호: R26BK01323461-000
[2026-02-06 19:54:33,485] [INFO]       - 문서번호: 제20260206-13호
[2026-02-06 19:54:33,485] [INFO]       - 긴급입찰여부: 아니오
[2026-02-06 19:54:33,485] [INFO]       - 공고종류: 실공고
[2026-02-06 19:54:33,485] [INFO]       - 공고처리구분: 등록공고
[2026-02-06 19:54:33,485] [INFO]       - 업무분류: 용역
[2026-02-06 19:54:33,485] [INFO]       - 입찰공고명: 범죄예방 및 이주관리/세입자조사/ 업체 선정 입찰공고
[2026-02-06 19:54:33,485] [INFO]       - 입찰방식: 전자입찰
[2026-02-06 19:54:33,485] [INFO]       - 계약방법: 일반경쟁
[2026-02-06 19:54:33,485] [INFO]       - 낙찰방법: 적격심사제
[2026-02-06 19:54:33,485] [INFO]       - 재입찰여부: 예
[2026-02-06 19:54:33,485] [INFO]       - 입찰서접수시작일시: 2026/02/1310:00
[2026-02-06 19:54:33,485] [INFO]       - 입찰서접수마감일시: 2026/02/2416:00
[2026-02-06 19:54:33,485] [INFO]       - 개찰일시: 2026/02/2417:00
[2026-02-06 19:54:33,485] [INFO]       - 입찰보증서 접수마감일시: 
[2026-02-06 19:54:33,485] [INFO]       - 입찰참가자격 등록마감일시: 2026/02/2318:00
[2026-02-06 19:54:33,485] [INFO]       - 개찰장소: 가능4구역 재개발정비사업조합 사무실
[2026-02-06 19:54:33,485] [INFO]       - 개찰및낙찰-비고: 개찰이전
[2026-02-06 19:54:33,485] [INFO]       - 관련공고: 
[2026-02-06 19:54:33,485] [INFO]       - 공고정보: 
[2026-02-06 19:54:33,485] [INFO]       - 최소인하비율(%): 0.2%
[2026-02-06 19:54:33,485] [INFO]       - 투찰제한횟수: 5
[2026-02-06 19:54:33,485] [INFO]       - 자동연장시각: 20
[2026-02-06 19:54:33,485] [INFO]       - 시작가격: 원
[2026-02-06 19:54:33,485] [INFO]       - 시작가격등록일시: 2026-02-06 18:36:23
[2026-02-06 19:54:33,485] [INFO]       - 입찰서접수마감일시(연장): 2026/02/1310:00
[2026-02-06 19:54:33,485] [INFO]       - 담당부서: 가능4구역 재개발정비사업조합
[2026-02-06 19:54:33,485] [INFO]       - 담당자: 서용엄
[2026-02-06 19:54:33,485] [INFO]       - 부가가치세포함여부: 아니오
[2026-02-06 19:54:33,486] [INFO]       - 배정예산: 원
[2026-02-06 19:54:33,486] [INFO]       - 기준금액사용여부: 아니오
[2026-02-06 19:54:33,486] [INFO]       - 기준금액공개여부: 
[2026-02-06 19:54:33,486] [INFO]       - 기준금액: 원
[2026-02-06 19:54:33,486] [INFO]       - 적격심사대상여부: 예
[2026-02-06 19:54:33,486] [INFO]       - 적격심사표: 수기 등록 총점 입력
[2026-02-06 19:54:33,486] [INFO]       - 지역제한: 공고서참조
[2026-02-06 19:54:33,486] [INFO]       - 지사/지점허용여부: 지사투찰허용
[2026-02-06 19:54:33,486] [INFO]       - 업종제한: 공고서참조
[2026-02-06 19:54:33,486] [INFO]       - 참가가능지역: 
